period,sales
2021-07-01,3769.61288
2021-08-01,3746.76116
2021-09-01,2595.7406
2021-10-01,1868.03866
2021-11-01,1919.15629
2021-12-01,2242.44014
2022-01-01,2735.27162
2022-02-01,2128.74468
2022-03-01,1938.88845
2022-04-01,1761.79505
2022-05-01,2152.20312
2022-06-01,2787.00783
2022-07-01,4172.12541
2022-08-01,4026.18402
2022-09-01,2417.13795
2022-10-01,1633.9079
2022-11-01,1852.56297
2022-12-01,2456.36299
2023-01-01,2284.06208
2023-02-01,2040.31639
2023-03-01,2048.3646
2023-04-01,1675.04587
2023-05-01,1861.3934
2023-06-01,2554.50671
2023-07-01,3970.85545
2023-08-01,3270.93554
2023-09-01,2591.40508
2023-10-01,1878.00331
2023-11-01,1952.52646
2023-12-01,2287.45611
2024-01-01,2560.07355
2024-02-01,2149.33381
2024-03-01,1825.0148
2024-04-01,1839.64741
2024-05-01,2143.76569
2024-06-01,3347.43337
2024-07-01,4280.0071
2024-08-01,3585.70205
2024-09-01,2022.91349
2024-10-01,1829.11477
2024-11-01,1866.22803
2024-12-01,2346.42358
2025-01-01,2731.90817
2025-02-01,2241.1025
2025-03-01,2020.35897
2025-04-01,1791.92457
2025-05-01,1901.98114
2025-06-01,3148.66729
